,movieid,name,genre,rating
0,1,Toy Story  ,"Animation,Children,Comedy",4
1,2,Jumanji  ,"Adventure,Children,Fantasy",3
2,3,Grumpier Old Men  ,"Comedy,Romance",3
3,4,Waiting to Exhale  ,"Comedy,Drama",3
4,5,Father of the Bride Part II  ,Comedy,3
5,6,Heat  ,"Action,Crime,Thriller",4
6,7,Sabrina  ,"Comedy,Romance",3
7,8,Tom and Huck  ,"Adventure,Children",3
8,9,Sudden Death  ,Action,3
9,10,GoldenEye  ,"Action,Adventure,Thriller",4
10,11,American President,"Comedy,Drama,Romance",4
11,12,Dracula: Dead and Loving It  ,"Comedy,Horror",2
12,13,Balto  ,"Animation,Children",3
13,14,Nixon  ,Drama,4
14,15,Cutthroat Island  ,"Action,Adventure,Romance",2
15,16,Casino  ,"Drama,Thriller",4
16,17,Sense and Sensibility  ,"Drama,Romance",4
17,18,Four Rooms  ,Thriller,3
18,19,Ace Ventura: When Nature Calls  ,Comedy,2
19,20,Money Train  ,Action,3
20,21,Get Shorty  ,"Action,Comedy,Drama",4
21,22,Copycat  ,"Crime,Drama,Thriller",3
22,23,Assassins  ,Thriller,3
23,24,Powder  ,"Drama,SciFi",3
24,25,Leaving Las Vegas  ,"Drama,Romance",4
25,26,Othello  ,Drama,4
26,27,Now and Then  ,Drama,3
27,28,Persuasion  ,Romance,4
28,29,City of Lost Children,"Adventure,SciFi",4
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao)  ,Drama,4
30,31,Dangerous Minds  ,Drama,3
31,32,Twelve Monkeys  ,"Drama,SciFi",4
32,33,Wings of Courage  ,"Adventure,Romance",3
33,34,Babe  ,"Children,Comedy,Drama",4
34,35,Carrington  ,"Drama,Romance",3
35,36,Dead Man Walking  ,Drama,4
36,37,Across the Sea of Time  ,Documentary,4
37,38,It Takes Two  ,Comedy,3
38,39,Clueless  ,"Comedy,Romance",4
39,40,Cry,Drama,4
40,41,Richard III  ,"Drama,War",4
41,42,Dead Presidents  ,"Action,Crime,Drama",3
42,43,Restoration  ,Drama,3
43,44,Mortal Kombat  ,"Action,Adventure",3
44,45,To Die For  ,"Comedy,Drama",3
45,46,How to Make an American Quilt  ,"Drama,Romance",3
46,47,Seven (Se7en)  ,"Crime,Thriller",4
47,48,Pocahontas  ,"Animation,Children,Musical",3
48,49,When Night Is Falling  ,"Drama,Romance",4
49,50,Usual Suspects,"Crime,Thriller",5
50,52,Mighty Aphrodite  ,Comedy,4
51,53,Lamerica  ,Drama,5
52,54,Big Green,"Children,Comedy",3
53,55,Georgia  ,Drama,3
54,56,Kids of the Round Table  ,"Adventure,Children,Fantasy",2
55,57,Home for the Holidays  ,Drama,3
56,58,Postino,"Drama,Romance",4
57,59,Confessional,"Drama,Mystery",3
58,60,Indian in the Cupboard,"Adventure,Children,Fantasy",3
59,61,Eye for an Eye  ,"Drama,Thriller",3
60,62,Mr. Holland's Opus  ,Drama,4
61,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood  ,Comedy,3
62,64,Two if by Sea  ,"Comedy,Romance",2
63,65,Bio-Dome  ,Comedy,2
64,66,Lawnmower Man 2: Beyond Cyberspace  ,"SciFi,Thriller",2
65,67,Two Bits  ,Drama,3
66,68,French Twist (Gazon maudit)  ,"Comedy,Romance",3
67,69,Friday  ,Comedy,4
68,70,From Dusk Till Dawn  ,"Action,Comedy,Crime,Thriller",3
69,71,Fair Game  ,Action,2
70,72,Kicking and Screaming  ,"Comedy,Drama",4
71,73,Misérables,"Drama,Musical",4
72,74,Bed of Roses  ,"Drama,Romance",3
73,75,Big Bully  ,"Comedy,Drama",2
74,76,Screamers  ,"SciFi,Thriller",3
75,77,Nico Icon  ,Documentary,4
76,78,Crossing Guard,Drama,3
77,79,Juror,"Drama,Thriller",3
78,80,White Balloon,Drama,4
79,81,Things to Do in Denver when You're Dead  ,"Crime,Drama,Romance",3
80,82,Antonia's Line (Antonia)  ,Drama,4
81,83,Once Upon a Time... When We Were Colored  ,Drama,4
82,84,Last Summer in the Hamptons  ,"Comedy,Drama",3
83,85,Angels and Insects  ,"Drama,Romance",3
84,86,White Squall  ,"Adventure,Drama",3
85,87,Dunston Checks In  ,"Children,Comedy",2
86,88,Black Sheep  ,Comedy,3
87,89,Nick of Time  ,"Action,Thriller",3
88,90,Journey of August King,Drama,4
89,92,Mary Reilly  ,"Drama,Thriller",2
90,93,Vampire in Brooklyn  ,"Comedy,Romance",2
91,94,Beautiful Girls  ,Drama,4
92,95,Broken Arrow  ,"Action,Thriller",3
93,96,In the Bleak Midwinter  ,Comedy,4
94,97,Hate (Haine,Drama,4
95,98,Shopping  ,"Action,Thriller",2
96,99,Heidi Fleiss: Hollywood Madam  ,Documentary,3
97,100,City Hall  ,"Drama,Thriller",3
98,101,Bottle Rocket  ,Comedy,4
99,102,Mr. Wrong  ,Comedy,2
100,103,Unforgettable  ,Thriller,3
101,104,Happy Gilmore  ,Comedy,4
102,105,Bridges of Madison County,"Drama,Romance",3
103,106,Nobody Loves Me (Keiner liebt mich)  ,"Comedy,Drama",4
104,107,Muppet Treasure Island  ,"Adventure,Children,Comedy",3
105,108,Catwalk  ,Documentary,3
106,110,Braveheart  ,"Action,Drama,War",4
107,111,Taxi Driver  ,"Drama,Thriller",4
108,112,Rumble in the Bronx  ,"Action,Adventure,Crime",3
109,113,Before and After  ,"Drama,Mystery",3
110,114,Margaret's Museum  ,Drama,3
111,116,Anne Frank Remembered  ,Documentary,4
112,117,Young Poisoner's Handbook,Crime,4
113,118,If Lucy Fell  ,"Comedy,Romance",3
114,119,Steal Big,Comedy,2
115,120,Race the Sun  ,Drama,3
116,121,Boys of St. Vincent,Drama,4
117,122,Boomerang  ,"Comedy,Romance",3
118,123,Chungking Express  ,"Drama,Mystery,Romance",4
119,124,Star Maker,Drama,3
120,125,Flirting With Disaster  ,Comedy,4
121,126,NeverEnding Story III,"Adventure,Children,Fantasy",2
122,127,Silence of the Palace,Drama,1
123,128,Jupiter's Wife  ,Documentary,4
124,129,Pie in the Sky  ,"Comedy,Romance",3
125,130,Angela  ,Drama,4
126,131,Frankie Starlight  ,"Drama,Romance",3
127,132,Jade  ,Thriller,2
128,133,Nueba Yol  ,"Comedy,Drama",1
129,134,Sonic Outlaws  ,Documentary,4
130,135,Down Periscope  ,Comedy,3
131,136,From the Journals of Jean Seberg  ,Documentary,3
132,137,Man of the Year  ,Documentary,3
133,138,Neon Bible,Drama,2
134,139,Target  ,"Action,Drama",4
135,140,Up Close and Personal  ,"Drama,Romance",3
136,141,Birdcage,Comedy,4
137,142,Shadows (Cienie)  ,Drama,1
138,144,Brothers McMullen,Comedy,3
139,145,Bad Boys  ,Action,3
140,146,Amazing PandaAdventure,"Adventure,Children",3
141,147,Basketball Diaries,Drama,4
142,148,Awfully BigAdventure,Drama,3
143,149,Amateur  ,"Crime,Drama,Thriller",4
144,150,Apollo 13  ,Drama,4
145,151,Rob Roy  ,"Drama,Romance,War",4
146,152,Addiction,Horror,3
147,153,Batman Forever  ,"Action,Adventure,Comedy",3
148,154,Belle de jour  ,Drama,4
149,155,Beyond Rangoon  ,"Drama,War",3
150,156,Blue in the Face  ,Comedy,4
151,157,Canadian Bacon  ,"Comedy,War",3
152,158,Casper  ,"Adventure,Children",3
153,159,Clockers  ,Drama,3
154,160,Congo  ,"Action,Adventure,Mystery",2
155,161,Crimson Tide  ,"Drama,Thriller,War",4
156,162,Crumb  ,Documentary,4
157,163,Desperado  ,"Action,Romance,Thriller",3
158,164,Devil in a Blue Dress  ,"Crime,Noir,Mystery",4
159,165,Die Hard: With a Vengeance  ,"Action,Thriller",4
160,166,Doom Generation,"Comedy,Drama",2
161,167,Feast of July  ,Drama,4
162,168,First Knight  ,"Action,Adventure,Drama",3
163,169,Free Willy 2: TheAdventureHome  ,"Adventure,Children,Drama",2
164,170,Hackers  ,"Action,Crime,Thriller",3
165,171,Jeffrey  ,Comedy,4
166,172,Johnny Mnemonic  ,"Action,SciFi,Thriller",3
167,173,Judge Dredd  ,"Action,Adventure,SciFi",2
168,174,Jury Duty  ,Comedy,2
169,175,Kids  ,Drama,3
170,176,Living in Oblivion  ,Comedy,4
171,177,Lord of Illusions  ,Horror,3
172,178,Love & Human Remains  ,Comedy,3
173,179,Mad Love  ,"Drama,Romance",2
174,180,Mallrats  ,Comedy,4
175,181,Mighty Morphin Power Rangers: The Movie  ,"Action,Children",2
176,182,Moonlight and Valentino  ,"Drama,Romance",3
177,183,Mute Witness  ,Thriller,3
178,184,Nadja  ,Drama,3
179,185,Net,"SciFi,Thriller",3
180,186,Nine Months  ,Comedy,3
181,187,Party Girl  ,Comedy,3
182,188,Prophecy,Horror,3
183,189,Reckless  ,Comedy,3
184,190,Safe  ,Thriller,4
185,191,Scarlet Letter,Drama,2
186,192,Show,Documentary,3
187,193,Showgirls  ,Drama,2
188,194,Smoke  ,Drama,4
189,195,Something to Talk About  ,"Comedy,Drama,Romance",3
190,196,Species  ,"Horror,SciFi",3
191,197,Stars Fell on Henrietta,Drama,3
192,198,Strange Days  ,"Action,Crime,SciFi",3
193,199,Umbrellas of Cherbourg,"Drama,Musical",4
194,200,Tie That Binds,Thriller,2
195,201,Three Wishes  ,Drama,3
196,202,Total Eclipse  ,"Drama,Romance",2
197,203,To Wong Foo,Comedy,3
198,204,Under Siege 2: Dark Territory  ,Action,3
199,205,Unstrung Heroes  ,"Comedy,Drama",4
200,206,Unzipped  ,Documentary,4
201,207,Walk in the Clouds,"Drama,Romance",3
202,208,Waterworld  ,"Action,Adventure",3
203,209,White Man's Burden  ,Drama,2
204,210,Wild Bill  ,Western,3
205,211,Browning Version,Drama,4
206,212,Bushwhacked  ,Comedy,2
207,213,Burnt By the Sun (Utomlyonnye solntsem)  ,Drama,4
208,214,Before the Rain (Pred dozhdot)  ,Drama,4
209,215,Before Sunrise  ,"Drama,Romance",4
210,216,Billy Madison  ,Comedy,3
211,217,Babysitter,"Drama,Thriller",3
212,218,Boys on the Side  ,"Comedy,Drama",3
213,219,Cure,"Drama,Drama",3
214,220,Castle Freak  ,Horror,2
215,222,Circle of Friends  ,"Drama,Romance",4
216,223,Clerks  ,Comedy,4
217,224,Don Juan DeMarco  ,"Comedy,Drama,Romance",3
218,225,Disclosure  ,"Drama,Thriller",3
219,226,Dream Man  ,Thriller,2
220,227,Drop Zone  ,Action,3
221,228,Destiny Turns on the Radio  ,Comedy,2
222,229,Death and the Maiden  ,"Drama,Thriller",4
223,230,Dolores Claiborne  ,"Drama,Thriller",3
224,231,Dumb & Dumber  ,Comedy,3
225,232,Eat Drink Man Woman  ,"Comedy,Drama",4
226,233,Exotica  ,Drama,4
227,234,Exit to Eden  ,Comedy,2
228,235,Ed Wood  ,"Comedy,Drama",4
229,236,French Kiss  ,"Comedy,Romance",3
230,237,Forget Paris  ,"Comedy,Romance",3
231,238,Far From Home: TheAdventures of Yellow Dog  ,"Adventure,Children",3
232,239,Goofy Movie,"Animation,Children,Comedy",3
233,240,Hideaway  ,Thriller,3
234,241,Fluke  ,"Children,Drama",3
235,242,Farinelli: il castrato  ,"Drama,Musical",4
236,243,Gordy  ,Comedy,2
237,244,Gumby: The Movie  ,"Animation,Children",2
238,245,Glass Shield,"Crime,Drama",3
239,246,Hoop Dreams  ,Documentary,4
240,247,Heavenly Creatures  ,"Drama,Fantasy,Romance",4
241,248,Houseguest  ,Comedy,3
242,249,Immortal Beloved  ,"Drama,Romance",4
243,250,Heavyweights  ,"Children,Comedy",3
244,251,Hunted,Action,3
245,252,I.Q.  ,"Comedy,Romance",3
246,253,Interview with the Vampire  ,"Drama,Horror",4
247,254,Jefferson in Paris  ,Drama,3
248,255,Jerky Boys,Comedy,2
249,256,Junior  ,"Comedy,SciFi",3
250,257,Just Cause  ,"Mystery,Thriller",3
251,258,Kid in King Arthur's Court,"Adventure,Children,Comedy,Romance",2
252,259,Kiss of Death  ,"Crime,Drama,Thriller",3
253,260,StarWars: Episode IV - A New Hope  ,"Action,Adventure,Fantasy",4
254,261,Little Women  ,Drama,4
255,262,Little Princess,"Children,Drama",4
256,263,Ladybird Ladybird  ,Drama,4
257,264,Enfer,Drama,3
258,265,Like Water for Chocolate (Como agua para chocolate)  ,"Drama,Romance",4
259,266,Legends of the Fall  ,"Drama,Romance,War",3
260,267,Major Payne  ,Comedy,3
261,268,Little Odessa  ,Drama,3
262,269,My Crazy Life (Mi vida loca)  ,Drama,4
263,270,Love Affair  ,"Drama,Romance",3
264,271,Losing Isaiah  ,Drama,3
265,272,Madness of King George,Drama,4
266,273,Mary Shelley's Frankenstein  ,"Drama,Horror",3
267,274,Man of the House  ,Comedy,2
268,275,Mixed Nuts  ,Comedy,3
269,276,Milk Money  ,"Comedy,Romance",3
270,277,Miracle on 34th Street  ,Drama,3
271,278,Miami Rhapsody  ,Comedy,3
272,279,My Family  ,Drama,4
273,280,Murder in the First  ,"Drama,Thriller",4
274,281,Nobody's Fool  ,Drama,4
275,282,Nell  ,Drama,3
276,283,New Jersey Drive  ,"Crime,Drama",3
277,286,Nemesis 2: Nebula  ,"Action,SciFi,Thriller",3
278,287,Nina Takes a Lover  ,"Comedy,Romance",3
279,288,Natural Born Killers  ,"Action,Thriller",3
280,289,Only You  ,"Comedy,Romance",3
281,290,Once WereWarriors  ,"Crime,Drama",4
282,291,Poison Ivy II  ,Thriller,2
283,292,Outbreak  ,"Action,Drama,Thriller",3
284,293,Professional,"Crime,Drama,Romance",4
285,294,Perez Family,"Comedy,Romance",3
286,295,Pyromaniac's Love Story,"Comedy,Romance",3
287,296,Pulp Fiction  ,"Crime,Drama",4
288,297,Panther  ,Drama,3
289,298,Pushing Hands  ,Comedy,4
290,299,Priest  ,Drama,4
291,300,Quiz Show  ,Drama,4
292,301,Picture Bride  ,"Drama,Romance",3
293,302,Queen Margot (La Reine Margot)  ,"Drama,Romance",4
294,303,Quick and the Dead,"Action,Adventure,Western",3
295,304,Roommates  ,"Comedy,Drama",3
296,305,Ready to Wear (Pret-A-Porter)  ,Comedy,3
297,306,Three Colors: Red  ,Drama,4
298,307,Three Colors: Blue  ,Drama,4
299,308,Three Colors: White  ,Drama,4
300,309,Red Firecracker,Drama,4
301,310,Rent-a-Kid  ,Comedy,3
302,311,Relative Fear  ,"Horror,Thriller",3
303,312,Stuart Saves His Family  ,Comedy,2
304,313,Swan Princess,"Animation,Children",3
305,314,Secret of Roan Inish,Drama,4
306,315,Specialist,Action,3
307,316,Stargate  ,"Action,Adventure,SciFi",3
308,317,Santa Clause,"Children,Comedy,Fantasy",3
309,318,Shawshank Redemption,Drama,5
310,319,Shallow Grave  ,Thriller,4
311,320,Suture  ,"Noir,Thriller",3
312,321,Strawberry and Chocolate (Fresa y chocolate)  ,Drama,4
313,322,Swimming with Sharks  ,"Comedy,Drama",4
314,324,Sum of Us,Comedy,4
315,325,National Lampoon's Senior Trip  ,Comedy,2
316,326,To Live (Huozhe)  ,Drama,4
317,327,Tank Girl  ,"Action,Comedy,Musical",3
318,328,Tales From the Crypt Presents: Demon Knight  ,Horror,3
319,329,Star Trek: Generations  ,"Action,Adventure,SciFi",3
320,330,Tales from the Hood  ,"Comedy,Horror",3
321,331,Tom & Viv  ,Drama,3
322,332,Village of the Damned  ,"Horror,SciFi",3
323,333,Tommy Boy  ,Comedy,4
324,334,Vanya on 42nd Street  ,Drama,4
325,335,Underneath,"Mystery,Thriller",3
326,336,Walking Dead,"Drama,War",3
327,337,What's Eating Gilbert Grape  ,Drama,4
328,338,Virtuosity  ,"SciFi,Thriller",3
329,339,While You Were Sleeping  ,"Comedy,Romance",3
330,340,War,"Adventure,Drama",3
331,341,Double Happiness  ,Drama,4
332,342,Muriel's Wedding  ,"Comedy,Romance",4
333,343,Baby-Sitters Club,Children,2
334,344,Ace Ventura: Pet Detective  ,Comedy,3
335,345,Adventures of Priscilla,"Comedy,Drama",4
336,346,Backbeat  ,"Drama,Musical",4
337,347,Bitter Moon  ,Drama,3
338,348,Bullets Over Broadway  ,Comedy,4
339,349,Clear and Present Danger  ,"Action,Adventure,Thriller",4
340,350,Client,"Drama,Mystery",3
341,351,Corrina,"Comedy,Drama",3
342,352,Crooklyn  ,Comedy,3
343,353,Crow,"Action,Romance",3
344,354,Cobb  ,Drama,3
345,355,Flintstones,"Children,Comedy",2
346,356,Forrest Gump  ,"Comedy,Romance,War",4
347,357,Four Weddings and a Funeral  ,"Comedy,Romance",4
348,358,Higher Learning  ,Drama,3
349,359,I Like It Like That  ,"Comedy,Drama,Romance",3
350,360,I Love Trouble  ,"Action,Comedy",2
351,361,It Could Happen to You  ,"Drama,Romance",3
352,362,Jungle Book,"Adventure,Children",3
353,363,Wonderful,Documentary,4
354,364,Lion King,"Animation,Children",4
355,365,Little Buddha  ,Drama,3
356,366,Wes Craven's New Nightmare  ,Horror,3
357,367,Mask,"Comedy,Crime",3
358,368,Maverick  ,"Action,Comedy,Western",4
359,369,Mrs. Parker and the Vicious Circle  ,Drama,3
360,370,Naked Gun 33 1/3: The Final Insult  ,Comedy,3
361,371,Paper,"Comedy,Drama",3
362,372,Reality Bites  ,"Comedy,Drama",3
363,373,Red Rock West  ,Thriller,4
364,374,Richie Rich  ,"Children,Comedy",2
365,375,Safe Passage  ,Drama,3
366,376,River Wild,"Action,Thriller",3
367,377,Speed  ,"Action,Romance,Thriller",4
368,378,Speechless  ,"Comedy,Romance",3
369,379,Timecop  ,"Action,SciFi",3
370,380,True Lies  ,"Action,Adventure,Comedy",4
371,381,When a Man Loves a Woman  ,Drama,3
372,382,Wolf  ,"Drama,Horror",3
373,383,Wyatt Earp  ,Western,3
374,384,Bad Company  ,Action,3
375,385,Man of No Importance,Drama,3
376,386,S.F.W.  ,Drama,3
377,387,Low Down Dirty Shame,"Action,Comedy",3
378,388,Boys Life  ,Drama,4
379,389,Colonel Chabert,"Drama,Romance",4
380,390,Faster Pussycat! Kill! Kill!  ,"Action,Comedy,Drama",4
381,391,Jason's Lyric  ,"Crime,Drama",3
382,392,SecretAdventures of Tom Thumb,"Adventure,Children",3
383,393,Street Fighter  ,Action,2
384,394,Coldblooded  ,Action,4
385,396,Fall Time  ,Drama,4
386,397,Fear,Horror,2
387,398,Frank and Ollie  ,Documentary,4
388,401,Mirage  ,"Action,Thriller",3
389,402,Open Season  ,Comedy,3
390,404,Brother Minister: The Assassination of Malcolm X  ,Documentary,4
391,405,Highlander III: The Sorcerer  ,"Action,SciFi",2
392,406,Federal Hill  ,Drama,4
393,407,In the Mouth of Madness  ,"Horror,Thriller",3
394,408,8 Seconds  ,Drama,3
395,409,Above the Rim  ,Drama,3
396,410,Addams Family Values  ,Comedy,3
397,411,You So Crazy  ,Comedy,3
398,412,Age of Innocence,Drama,4
399,413,Airheads  ,Comedy,3
400,414,Air Up There,Comedy,3
401,415,Another Stakeout  ,"Comedy,Thriller",2
402,416,Bad Girls  ,Western,2
403,417,Barcelona  ,"Comedy,Romance",3
404,418,Being Human  ,Drama,3
405,419,Beverly Hillbillies,Comedy,2
406,420,Beverly Hills Cop III  ,"Action,Comedy",3
407,421,Black Beauty  ,"Adventure,Children",3
408,422,Blink  ,Thriller,3
409,423,Blown Away  ,"Action,Thriller",3
410,424,Blue Chips  ,Drama,3
411,425,Blue Sky  ,"Drama,Romance",4
412,426,Body Snatchers  ,"Horror,SciFi,Thriller",3
413,427,Boxing Helena  ,"Mystery,Romance,Thriller",2
414,428,Bronx Tale,Drama,4
415,429,Cabin Boy  ,Comedy,2
416,430,Calendar Girl  ,Drama,2
417,431,Carlito's Way  ,"Crime,Drama",4
418,432,City Slickers II: The Legend of Curly's Gold  ,"Comedy,Western",3
419,433,Clean Slate  ,Comedy,3
420,434,Cliffhanger  ,"Action,Adventure,Crime",3
421,435,Coneheads  ,"Comedy,SciFi",3
422,436,Color of Night  ,"Drama,Thriller",3
423,437,Cops and Robbersons  ,Comedy,2
424,438,Cowboy Way,"Action,Comedy",3
425,439,Dangerous Game  ,Drama,4
426,440,Dave  ,"Comedy,Romance",4
427,441,Dazed and Confused  ,Comedy,4
428,442,Demolition Man  ,"Action,SciFi",3
429,443,Endless Summer 2,Documentary,3
430,444,Even Cowgirls Get the Blues  ,"Comedy,Romance",2
431,445,Fatal Instinct  ,Comedy,3
432,446,Farewell My Concubine  ,"Drama,Romance",4
433,447,Favor,"Comedy,Romance",2
434,448,Fearless  ,Drama,4
435,449,Fear of a Black Hat  ,Comedy,4
436,450,With Honors  ,"Comedy,Drama",3
437,451,Flesh and Bone  ,"Drama,Mystery,Romance",3
438,452,Widows' Peak  ,Drama,3
439,453,For Love or Money  ,Comedy,3
440,454,Firm,"Drama,Thriller",4
441,455,Free Willy  ,"Adventure,Children,Drama",3
442,456,Fresh  ,Drama,4
443,457,Fugitive,"Action,Thriller",4
444,458,Geronimo: An American Legend  ,"Drama,Western",3
445,459,Getaway,Action,3
446,460,Getting Even with Dad  ,Comedy,2
447,461,Go Fish  ,"Drama,Romance",3
448,462,Good Man in Africa,"Action,Adventure",3
449,463,Guilty as Sin  ,"Crime,Drama,Thriller",3
450,464,Hard Target  ,"Action,Adventure,Crime",3
451,465,Heaven & Earth  ,"Action,Drama,War",3
452,466,Hot Shots! Part Deux  ,"Action,Comedy,War",3
453,467,Live Nude Girls  ,Comedy,3
454,468,Englishman Who Went Up a Hill,Comedy,3
455,469,House of the Spirits,"Drama,Romance",3
456,470,House Party 3  ,Comedy,2
457,471,Hudsucker Proxy,"Comedy,Romance",4
458,472,I'll Do Anything  ,"Comedy,Drama",3
459,473,In the Army Now  ,"Comedy,War",2
460,474,In the Line of Fire  ,"Action,Thriller",4
461,475,In the Name of the Father  ,Drama,4
462,476,Inkwell,"Comedy,Drama",3
463,477,What's Love Got to Do with It?  ,Drama,3
464,478,Jimmy Hollywood  ,Comedy,2
465,479,Judgment Night  ,Action,3
466,480,Jurassic Park  ,"Action,Adventure,SciFi",4
467,481,Kalifornia  ,"Drama,Thriller",3
468,482,Killing Zoe  ,Thriller,4
469,483,King of the Hill  ,Drama,4
470,484,Lassie  ,"Adventure,Children",3
471,485,LastActionHero  ,"Action,Comedy",3
472,486,Life with Mikey  ,Comedy,3
473,487,Lightning Jack  ,"Comedy,Western",3
474,488,M. Butterfly  ,Drama,3
475,489,Made in America  ,Comedy,2
476,490,Malice  ,Thriller,3
477,491,Man Without a Face,Drama,3
478,492,Manhattan MurderMystery ,"Comedy,Mystery",4
479,493,Menace II Society  ,"Action,Crime,Drama",4
480,494,Executive Decision  ,"Action,Thriller",3
481,495,In the Realm of the Senses (Ai no corrida)  ,Drama,3
482,496,What Happened Was...  ,"Comedy,Drama,Romance",3
483,497,Much Ado About Nothing  ,"Comedy,Romance",4
484,498,Mr. Jones  ,"Drama,Romance",3
485,499,Mr. Wonderful  ,"Comedy,Romance",3
486,500,Mrs. Doubtfire  ,Comedy,3
487,501,Naked  ,Drama,4
488,502,Next Karate Kid,"Action,Children",2
489,503,New Age,Drama,4
490,504,No Escape  ,"Action,SciFi",3
491,505,North  ,Comedy,2
492,506,Orlando  ,Drama,3
493,507,Perfect World,"Action,Drama",4
494,508,Philadelphia  ,Drama,4
495,509,Piano,"Drama,Romance",4
496,510,Poetic Justice  ,Drama,2
497,511,Program,"Action,Drama",3
498,512,Robert A. Heinlein's The Puppet Masters  ,"Horror,SciFi",3
499,513,Radioland Murders  ,"Comedy,Mystery,Romance",3
500,514,Ref,Comedy,4
501,515,Remains of the Day,Drama,4
502,516,Renaissance Man  ,"Comedy,Drama,War",3
503,517,Rising Sun  ,"Action,Drama,Mystery",3
